"Test Date","Start Time","End Time","Test Case","Test Status","Error Message"
"07/19/2023","11:28:29","11:29:02","visit_01","Pass","-"
"07/19/2023","11:29:03","11:29:38","visit_02","Pass","-"
"07/19/2023","11:29:38","11:29:59","visit_03","Pass","-"
"07/19/2023","11:29:59","11:30:13","visit_04","Pass","-"
"07/19/2023","11:30:14","11:30:33","visit_05","Pass","-"
"07/19/2023","11:30:34","11:30:55","visit_06","Pass","-"
"07/19/2023","11:30:55","11:31:08","visit_07","Failed","Page Contact us: URL is https://www.automationexercise.com/contact_us NOT https://www.automationexercise.com/contact_us2"
"07/19/2023","11:31:08","11:31:22","visit_08","Pass","-"
"07/19/2023","11:31:24","11:31:47","visit_09","Failed","Page Home: Element Dummy1 is not exist, Element Dummy2 is not exist"
